modality_pair,m1_name,m2_name,comparison,question_intent,n_questions,model,S_m1,S_m2,C12,C12_ci_lo,C12_ci_hi,D,D_ci_lo,D_ci_hi,S_target,S_reference
image + layout,image,layout,S_layout - S_image,Attribute,4,Gemma3-4B,-1.0,1.0,0.0,0.0,0.75,2.0,1.0,3.0,1.0,-1.0
image + layout,image,layout,S_layout - S_image,Attribute,4,Gemma3-27B,0.5,-0.5,-0.25,-0.5,0.5,-1.0,-2.0,0.0,-0.5,0.5
image + layout,image,layout,S_layout - S_image,Attribute,4,GPT-4o-mini,0.75,-0.25,-0.25,-0.5,0.75,-1.0,-3.0,0.0,-0.25,0.75
image + layout,image,layout,S_layout - S_image,Attribute,4,Qwen3-VL-8B,0.3333333333333333,0.3333333333333333,0.0,0.0,0.75,0.0,-1.0,1.0,0.3333333333333333,0.3333333333333333
image + layout,image,layout,S_layout - S_image,Attribute,4,Qwen3-VL-30B,0.6666666666666666,0.0,0.0,0.0,0.75,-0.6666666666666666,-1.0,0.0,0.0,0.6666666666666666
image + layout,image,layout,S_layout - S_image,Calculation,4,Gemma3-4B,,,,,,,,,,
image + layout,image,layout,S_layout - S_image,Calculation,4,Gemma3-27B,,,,,,,,,,
image + layout,image,layout,S_layout - S_image,Calculation,4,GPT-4o-mini,0.5,-0.5,0.25,0.25,0.75,-1.0,-1.0,-1.0,-0.5,0.5
image + layout,image,layout,S_layout - S_image,Calculation,4,Qwen3-VL-8B,0.5,-0.5,0.25,0.25,0.75,-1.0,-1.0,-1.0,-0.5,0.5
image + layout,image,layout,S_layout - S_image,Calculation,4,Qwen3-VL-30B,1.0,-1.0,0.0,0.0,0.75,-2.0,-3.0,-1.0,-1.0,1.0
image + layout,image,layout,S_layout - S_image,Description,1,Gemma3-4B,,,,,,,,,,
image + layout,image,layout,S_layout - S_image,Description,1,Gemma3-27B,0.5,-0.5,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.5,0.5
image + layout,image,layout,S_layout - S_image,Description,1,GPT-4o-mini,0.40476190476190477,-0.40476190476190477,1.1904761904761905,1.1904761904761905,1.1904761904761905,-0.8095238095238095,-0.8095238095238095,-0.8095238095238095,-0.40476190476190477,0.40476190476190477
image + layout,image,layout,S_layout - S_image,Description,1,Qwen3-VL-8B,,,,,,,,,,
image + layout,image,layout,S_layout - S_image,Description,1,Qwen3-VL-30B,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
image + layout,image,layout,S_layout - S_image,Entity,14,Gemma3-4B,0.6041666666666667,-0.10416666666666674,0.08333333333333329,-0.04761904761904767,0.42857142857142855,-0.7083333333333335,-1.8333333333333337,0.0,-0.10416666666666674,0.6041666666666667
image + layout,image,layout,S_layout - S_image,Entity,14,Gemma3-27B,0.47826086956521746,0.0,0.0,-0.14285714285714285,0.35714285714285715,-0.47826086956521746,-2.0,0.909090909090909,0.0,0.47826086956521746
image + layout,image,layout,S_layout - S_image,Entity,14,GPT-4o-mini,0.6571428571428573,0.0,0.0,0.0,0.2857142857142857,-0.6571428571428573,-1.0,-0.23404255319148937,0.0,0.6571428571428573
image + layout,image,layout,S_layout - S_image,Entity,14,Qwen3-VL-8B,0.6666666666666669,-0.3333333333333334,-0.14285714285714285,-0.2857142857142857,0.21428571428571427,-1.0000000000000002,-4.0,0.0,-0.3333333333333334,0.6666666666666669
image + layout,image,layout,S_layout - S_image,Entity,14,Qwen3-VL-30B,0.5868055555555557,-0.00347222222222221,-0.0023809523809523725,-0.1933333333333334,0.41428571428571426,-0.5902777777777779,-2.0539906103286385,0.0,-0.00347222222222221,0.5868055555555557
image + layout,image,layout,S_layout - S_image,List,17,Gemma3-4B,-0.5139214339542807,0.5969123191933421,0.0124981727608649,0.016390145801910477,0.2749712072612974,1.110833753147623,-0.9999999999999996,13.653846153846155,0.5969123191933421,-0.5139214339542807
image + layout,image,layout,S_layout - S_image,List,17,Gemma3-27B,0.18135536570045724,-0.24984851638538869,0.05092165656691799,0.10184331313383597,0.2862157742139768,-0.4312038820858459,-1.0,-0.11655071047376053,-0.24984851638538869,0.18135536570045724
image + layout,image,layout,S_layout - S_image,List,17,GPT-4o-mini,0.715827259023602,-0.023136306822764085,0.01913803983705796,0.042516622039169574,0.2565939329779212,-0.7389635658463661,-1.0,-0.21883672314021863,-0.023136306822764085,0.715827259023602
image + layout,image,layout,S_layout - S_image,List,17,Qwen3-VL-8B,0.5895469765242165,-0.5224852472619759,-0.06675691532000301,-0.0947023604447697,0.2150932673953869,-1.1120322237861924,-6.006927347126305,0.9089147335033043,-0.5224852472619759,0.5895469765242165
image + layout,image,layout,S_layout - S_image,List,17,Qwen3-VL-30B,0.13673076923076918,0.2632692307692307,-0.012405731523378594,-0.04441930618401202,0.27450980392156865,0.12653846153846152,-0.5,2.5442307692307686,0.2632692307692307,0.13673076923076918
image + layout,image,layout,S_layout - S_image,Quantity,37,Gemma3-4B,0.25,-0.25,0.05405405405405406,-0.08108108108108109,0.2972972972972973,-0.5,-2.5,0.6000000000000001,-0.25,0.25
image + layout,image,layout,S_layout - S_image,Quantity,37,Gemma3-27B,0.42857142857142855,0.0,0.16216216216216217,0.05405405405405406,0.3783783783783784,-0.42857142857142855,-1.3333333333333333,0.2,0.0,0.42857142857142855
image + layout,image,layout,S_layout - S_image,Quantity,37,GPT-4o-mini,0.75,-0.4166666666666667,0.08108108108108109,0.05405405405405406,0.21621621621621623,-1.1666666666666667,-2.0,-1.0,-0.4166666666666667,0.75
image + layout,image,layout,S_layout - S_image,Quantity,37,Qwen3-VL-8B,0.9,-0.3,0.05405405405405406,-0.02702702702702703,0.2702702702702703,-1.2,-2.0,-0.7692307692307694,-0.3,0.9
image + layout,image,layout,S_layout - S_image,Quantity,37,Qwen3-VL-30B,0.7727272727272726,-0.13636363636363635,0.08108108108108109,-0.02702702702702703,0.2702702702702703,-0.909090909090909,-1.2727272727272727,-0.6153846153846153,-0.13636363636363635,0.7727272727272726
image + layout,image,layout,S_layout - S_image,Verification,4,Gemma3-4B,0.6666666666666666,-0.3333333333333333,0.0,-0.25,0.75,-1.0,-4.0,-0.25,-0.3333333333333333,0.6666666666666666
image + layout,image,layout,S_layout - S_image,Verification,4,Gemma3-27B,0.5,-1.5,0.25,0.0,1.0,-2.0,-3.0,-1.0,-1.5,0.5
image + layout,image,layout,S_layout - S_image,Verification,4,GPT-4o-mini,0.6666666666666666,-0.3333333333333333,0.5,0.5,1.0,-1.0,-1.0,-1.0,-0.3333333333333333,0.6666666666666666
image + layout,image,layout,S_layout - S_image,Verification,4,Qwen3-VL-8B,0.5,-0.16666666666666666,0.25,0.0,1.0,-0.6666666666666666,-1.0,0.0,-0.16666666666666666,0.5
image + layout,image,layout,S_layout - S_image,Verification,4,Qwen3-VL-30B,0.5,-0.16666666666666666,0.25,0.0,1.0,-0.6666666666666666,-1.0,0.0,-0.16666666666666666,0.5
image + plain_text,image,plain_text,S_plain_text - S_image,Attribute,19,Gemma3-4B,0.0,0.6,0.0,-0.21052631578947367,0.3684210526315789,0.6,-0.2222222222222223,2.3333333333333335,0.6,0.0
image + plain_text,image,plain_text,S_plain_text - S_image,Attribute,19,Gemma3-27B,0.2142857142857142,0.38571428571428584,-0.09774436090225569,-0.24812030075187969,0.21804511278195482,0.17142857142857165,-1.25,0.9642857142857145,0.38571428571428584,0.2142857142857142
image + plain_text,image,plain_text,S_plain_text - S_image,Attribute,19,GPT-4o-mini,0.36885245901639346,0.36885245901639346,-0.12499999999999994,-0.2631578947368421,0.19078947368421054,0.0,-0.3809523809523809,0.38095238095238093,0.36885245901639346,0.36885245901639346
image + plain_text,image,plain_text,S_plain_text - S_image,Attribute,19,Qwen3-VL-8B,0.015306122448979553,0.6989795918367347,-0.09398496240601506,-0.22932330827067676,0.22180451127819562,0.6836734693877552,0.0,1.5,0.6989795918367347,0.015306122448979553
image + plain_text,image,plain_text,S_plain_text - S_image,Attribute,19,Qwen3-VL-30B,0.25297039159503343,0.5202483285577841,-0.1862143566463328,-0.31121435664633273,0.12945098595545473,0.2672779369627507,-0.3221884498480242,0.7765567765567765,0.5202483285577841,0.25297039159503343
image + plain_text,image,plain_text,S_plain_text - S_image,Calculation,11,Gemma3-4B,,,,,,,,,,
