modality_pair,m1_name,m2_name,comparison,task_tag,n_questions,model,S_m1,S_m2,C12,C12_ci_lo,C12_ci_hi,D,D_ci_lo,D_ci_hi,S_target,S_reference
image + layout,image,layout,S_layout - S_image,Reasoning,11,Gemma3-4B,0.37499999999999994,0.12500000000000003,0.09090909090909094,-0.09090909090909094,0.5454545454545454,-0.24999999999999992,-1.0,1.0,0.12500000000000003,0.37499999999999994
image + layout,image,layout,S_layout - S_image,Reasoning,11,Gemma3-27B,0.33333333333333337,-5.0885221961986346e-17,0.1818181818181818,-0.09090909090909088,0.6363636363636364,-0.3333333333333334,-2.0,0.0,-5.0885221961986346e-17,0.33333333333333337
image + layout,image,layout,S_layout - S_image,Reasoning,11,GPT-4o-mini,0.6999999999999998,-0.1,0.09090909090909091,0.0,0.45454545454545453,-0.7999999999999998,-1.0,-0.33333333333333326,-0.1,0.6999999999999998
image + layout,image,layout,S_layout - S_image,Reasoning,11,Qwen3-VL-8B,0.8749999999999998,-0.37499999999999994,-0.09090909090909088,-0.27272727272727276,0.36363636363636365,-1.2499999999999998,-3.5,-0.5,-0.37499999999999994,0.8749999999999998
image + layout,image,layout,S_layout - S_image,Reasoning,11,Qwen3-VL-30B,0.6999999999999998,-0.1,0.09090909090909091,0.0,0.45454545454545453,-0.7999999999999998,-1.0,-0.33333333333333326,-0.1,0.6999999999999998
image + layout,image,layout,S_layout - S_image,Understanding,23,Gemma3-4B,0.2827948768502158,0.12787224873466804,0.00923777986672622,-0.09238201412114458,0.2103058530715405,-0.15492262811554777,-1.153846153846154,0.8965135583840622,0.12787224873466804,0.2827948768502158
image + layout,image,layout,S_layout - S_image,Understanding,23,Gemma3-27B,0.5408803680419048,-0.14867257583411264,-0.005840514711408451,-0.09279703645053888,0.21155078963641766,-0.6895529438760174,-1.6,0.2580858242268086,-0.14867257583411264,0.5408803680419048
image + layout,image,layout,S_layout - S_image,Understanding,23,GPT-4o-mini,0.767318069215642,-0.0552060490647166,-0.029332753163913677,-0.12008869075686687,0.1777124593320836,-0.8225241182803587,-1.2023575358491598,-0.5123087281843601,-0.0552060490647166,0.767318069215642
image + layout,image,layout,S_layout - S_image,Understanding,23,Qwen3-VL-8B,0.660342923270256,0.11015684593502031,-0.04934206784521947,-0.15057218840438436,0.17669654528296702,-0.5501860773352357,-0.8560472862788844,-0.17415725221502112,0.11015684593502031,0.660342923270256
image + layout,image,layout,S_layout - S_image,Understanding,23,Qwen3-VL-30B,0.7483818011257036,0.03210600375234521,-0.09612597547380158,-0.22656075808249732,0.144927536231884,-0.7162757973733584,-1.0270270270270272,-0.38868006993007,0.03210600375234521,0.7483818011257036
image + plain_text,image,plain_text,S_plain_text - S_image,Reasoning,36,Gemma3-4B,-0.05681818181818187,0.18181818181818182,-0.13636363636363638,-0.3030303030303031,0.03535353535353533,0.2386363636363637,-0.5844155844155843,1.4,0.18181818181818182,-0.05681818181818187
image + plain_text,image,plain_text,S_plain_text - S_image,Reasoning,36,Gemma3-27B,0.016528925619834725,0.3471074380165289,-0.04040404040404039,-0.2777777777777778,0.20959595959595956,0.33057851239669417,-0.1742424242424242,0.8999999999999999,0.3471074380165289,0.016528925619834725
image + plain_text,image,plain_text,S_plain_text - S_image,Reasoning,36,GPT-4o-mini,0.13333333333333336,0.4,-0.05555555555555555,-0.2777777777777778,0.19444444444444448,0.26666666666666666,-0.08333333333333323,0.7142857142857141,0.4,0.13333333333333336
image + plain_text,image,plain_text,S_plain_text - S_image,Reasoning,36,Qwen3-VL-8B,0.4292929292929293,0.1818181818181818,-0.12626262626262622,-0.33333333333333337,0.10858585858585854,-0.2474747474747475,-0.6969696969696972,0.1818181818181818,0.1818181818181818,0.4292929292929293
image + plain_text,image,plain_text,S_plain_text - S_image,Reasoning,36,Qwen3-VL-30B,0.39712918660287083,0.23444976076555024,-0.1919191919191919,-0.38383838383838387,0.005050505050505083,-0.1626794258373206,-0.6060606060606061,0.2337662337662338,0.23444976076555024,0.39712918660287083
