benchmark,modality_pair,n_questions,n_documents,comparison,D_mean_across,D_mean_ci_lo,D_mean_ci_hi,D_mean_excl_zero,D_prop_all_pos,D_prop_all_neg,C12_mean_across,C12_mean_ci_lo,C12_mean_ci_hi,C12_mean_excl_zero,C12_prop_all_pos,C12_prop_all_neg,D_strength,D_conclusion,C12_strength,C12_conclusion
LongDocURL,image + layout,34,26,S_layout - S_image,-0.604040307773812,-0.8652034205266416,-0.3172399327843701,True,0.0,0.7195559777988899,-0.006510722131015012,-0.11751568809396473,0.1292422732737225,False,0.12146607330366518,0.1735386769338467,moderate,"Moderate evidence: image tends to contribute more than layout across models, but not all individual CIs exclude zero.",weak_or_unclear,Weak or unclear evidence for consistent cooperation or redundancy.
LongDocURL,image + plain_text,152,70,S_plain_text - S_image,0.13366522594688507,-0.012306214127955486,0.2756544691158196,False,0.57005,0.00018,-0.19373269063008983,-0.27329055540694314,-0.0941254130284407,True,1e-05,0.9706,weak_or_unclear,Weak or unclear evidence: models do not consistently agree on whether plain_text or image contributes more.,strong,Strong evidence: modalities are redundant (C12 < 0) consistently across all 5 models.
LongDocURL,image + table,164,50,S_table - S_image,0.08999643599417355,-0.17296527579599127,0.33963368339598404,False,0.0443443894141778,0.00037020361198659263,0.060327682707339604,0.0013526245164615864,0.13003233881570564,True,0.2576717194456951,0.0,weak_or_unclear,Weak or unclear evidence: models do not consistently agree on whether table or image contributes more.,weak_or_unclear,Weak or unclear evidence for consistent cooperation or redundancy.
LongDocURL,layout + plain_text,280,131,S_plain_text - S_layout,0.49100673678599654,0.39017386815494953,0.5962337942662257,True,1.0,0.0,-0.06541507141049556,-0.10412314689671504,-0.02602911234736602,True,0.0,0.76269,strong,"Strong evidence: plain_text contributes more than layout, consistently across all 5 models.",moderate,Moderate evidence for redundancy (C12 < 0) across models.
LongDocURL,layout + table,150,60,S_table - S_layout,0.7965355026369475,0.6120397785584526,0.9570966621422993,True,0.86728,0.0,0.04703861620950905,-0.010748453660460587,0.1367771005935494,False,0.64326,0.00636,strong,"Strong evidence: table contributes more than layout, consistently across all 5 models.",weak_or_unclear,Weak or unclear evidence for consistent cooperation or redundancy.
LongDocURL,plain_text + table,55,39,S_table - S_plain_text,0.05329666032572115,-0.16159728866054335,0.25283479468531567,False,0.13464,0.01661,-0.23120263328800397,-0.371278686793943,-0.08007076921340067,True,1e-05,0.90518,weak_or_unclear,Weak or unclear evidence: models do not consistently agree on whether table or plain_text contributes more.,strong,Strong evidence: modalities are redundant (C12 < 0) consistently across all 5 models.
MMLongBench-Doc,image + layout,47,28,S_layout - S_image,-1.106723426508239,-2.0786813423619557,-0.553036117790899,True,0.0,0.8553040116793124,0.10518545619096467,0.03195274584929757,0.19551322751322753,True,0.6926161248534946,0.0,moderate,"Moderate evidence: image tends to contribute more than layout across models, but not all individual CIs exclude zero.",moderate,Moderate evidence for cooperation (C12 > 0) across models.
MMLongBench-Doc,image + plain_text,92,44,S_plain_text - S_image,-0.2677005670743794,-0.6291430627466622,0.03121830037692525,False,2e-05,0.45333,-0.007394694478118199,-0.09222925440829897,0.07575169675945881,False,0.13107,0.18871,weak_or_unclear,Weak or unclear evidence: models do not consistently agree on whether plain_text or image contributes more.,weak_or_unclear,Weak or unclear evidence for consistent cooperation or redundancy.
MMLongBench-Doc,image + table,16,14,S_table - S_image,1.3832046843130288,-0.06666666666666679,3.546666666666667,False,0.5715325979176995,0.0,0.14411615164766065,0.01258309591642925,0.3218559218559218,True,0.5430094199305899,0.0,weak_or_unclear,Weak or unclear evidence: models do not consistently agree on whether table or image contributes more.,weak_or_unclear,Weak or unclear evidence for consistent cooperation or redundancy.
MMLongBench-Doc,layout + plain_text,16,14,S_plain_text - S_layout,1.0990618061818835,0.45238095238095244,1.8098730158730154,True,0.8211675794450086,0.0,0.09524264339376463,-0.05,0.25,False,0.13505235297055249,0.0,moderate,"Moderate evidence: plain_text tends to contribute more than layout across models, but not all individual CIs exclude zero.",weak_or_unclear,Weak or unclear evidence for consistent cooperation or redundancy.
MMLongBench-Doc,layout + table,9,7,S_table - S_layout,0.3965187584568281,-0.5631397174254318,0.7446153846153847,False,0.0,0.0,0.23643215891130037,0.11914934164934163,0.43813582813582813,True,0.1892121598445871,0.0,weak_or_unclear,Weak or unclear evidence: models do not consistently agree on whether table or layout contributes more.,weak_or_unclear,Weak or unclear evidence for consistent cooperation or redundancy.
MMLongBench-Doc,plain_text + table,36,27,S_table - S_plain_text,0.3718175020329498,0.009797409737209162,0.7606672047350013,True,0.5187066836015242,0.0005100459041313719,0.05813340367087385,-0.019773647405226358,0.15056507326244167,False,0.26318368653178786,0.0004200378034023062,moderate,"Moderate evidence: table tends to contribute more than plain_text across models, but not all individual CIs exclude zero.",weak_or_unclear,Weak or unclear evidence for consistent cooperation or redundancy.
