modality_pair,model,D_width_strat_pair,D_width_strat_bench,D_width_unstrat,D_diff_bench_vs_pair,D_diff_unstrat_vs_pair,D_pct_bench_vs_pair,D_pct_unstrat_vs_pair,C12_width_strat_pair,C12_width_strat_bench,C12_width_unstrat,C12_diff_bench_vs_pair,C12_diff_unstrat_vs_pair,C12_pct_bench_vs_pair,C12_pct_unstrat_vs_pair
image + layout,GPT-4o-mini,0.413561,0.409415,0.417485,-0.004146,0.003924,-1.003,0.949,0.130825,0.12509,0.131816,-0.005735,0.000991,-4.384,0.757
image + layout,Gemma3-27B,0.974682,0.970717,0.981815,-0.003965,0.007134,-0.407,0.732,0.200848,0.200848,0.209728,-0.0,0.00888,-0.0,4.421
image + layout,Gemma3-4B,1.12365,1.116462,1.135043,-0.007188,0.011393,-0.64,1.014,0.213041,0.210539,0.213051,-0.002503,1e-05,-1.175,0.005
image + layout,Qwen3-VL-30B,0.523045,0.520366,0.524563,-0.002679,0.001518,-0.512,0.29,0.2118,0.202582,0.212534,-0.009219,0.000734,-4.353,0.347
image + layout,Qwen3-VL-8B,0.792895,0.763415,0.799996,-0.02948,0.0071,-3.718,0.895,0.19099,0.185219,0.192935,-0.005771,0.001945,-3.021,1.019
image + plain_text,GPT-4o-mini,0.306889,0.299262,0.30895,-0.007627,0.002061,-2.485,0.672,0.148766,0.145404,0.14979,-0.003362,0.001024,-2.26,0.688
image + plain_text,Gemma3-27B,0.341062,0.335096,0.340722,-0.005966,-0.000339,-1.749,-0.099,0.150871,0.150082,0.150855,-0.000789,-1.6e-05,-0.523,-0.011
image + plain_text,Gemma3-4B,0.519733,0.519379,0.519007,-0.000354,-0.000727,-0.068,-0.14,0.12725,0.126738,0.127298,-0.000512,4.8e-05,-0.402,0.037
image + plain_text,Qwen3-VL-30B,0.274718,0.274971,0.275052,0.000253,0.000333,0.092,0.121,0.141686,0.140417,0.142627,-0.001269,0.000942,-0.895,0.665
image + plain_text,Qwen3-VL-8B,0.289498,0.287827,0.288536,-0.001671,-0.000961,-0.577,-0.332,0.138937,0.136364,0.139112,-0.002573,0.000175,-1.852,0.126
image + table,GPT-4o-mini,0.278567,0.278248,0.281255,-0.000319,0.002688,-0.115,0.965,0.13186,0.129348,0.131792,-0.002512,-6.7e-05,-1.905,-0.051
image + table,Gemma3-27B,0.684455,0.675186,0.687823,-0.009269,0.003367,-1.354,0.492,0.137934,0.137518,0.138499,-0.000416,0.000566,-0.301,0.41
image + table,Gemma3-4B,1.415039,1.415193,1.422119,0.000154,0.00708,0.011,0.5,0.096851,0.096174,0.097662,-0.000677,0.000811,-0.699,0.837
image + table,Qwen3-VL-30B,0.41081,0.408567,0.412002,-0.002242,0.001193,-0.546,0.29,0.134848,0.135744,0.135898,0.000897,0.00105,0.665,0.779
image + table,Qwen3-VL-8B,0.445395,0.447274,0.449184,0.001879,0.003789,0.422,0.851,0.130578,0.130708,0.130117,0.00013,-0.000461,0.1,-0.353
layout + plain_text,GPT-4o-mini,0.234782,0.234386,0.235801,-0.000396,0.001019,-0.169,0.434,0.110709,0.110456,0.111033,-0.000253,0.000325,-0.228,0.293
layout + plain_text,Gemma3-27B,0.267599,0.267622,0.269707,2.3e-05,0.002109,0.009,0.788,0.107592,0.107421,0.108251,-0.000171,0.000659,-0.159,0.612
layout + plain_text,Gemma3-4B,0.396362,0.395245,0.396065,-0.001116,-0.000297,-0.282,-0.075,0.106746,0.106137,0.106766,-0.000609,2e-05,-0.571,0.019
layout + plain_text,Qwen3-VL-30B,0.259691,0.26007,0.260102,0.000379,0.000411,0.146,0.158,0.117873,0.118165,0.118662,0.000292,0.000789,0.247,0.669
layout + plain_text,Qwen3-VL-8B,0.222073,0.222888,0.223807,0.000816,0.001734,0.367,0.781,0.110502,0.109911,0.110471,-0.00059,-3e-05,-0.534,-0.028
layout + table,GPT-4o-mini,0.313935,0.311723,0.314885,-0.002212,0.00095,-0.705,0.303,0.101051,0.100817,0.101119,-0.000234,6.8e-05,-0.232,0.067
layout + table,Gemma3-27B,0.502141,0.503545,0.508097,0.001404,0.005956,0.28,1.186,0.101439,0.099984,0.10165,-0.001455,0.000211,-1.435,0.208
layout + table,Gemma3-4B,0.701013,0.698769,0.705306,-0.002245,0.004293,-0.32,0.612,0.1245,0.120839,0.124201,-0.003661,-0.000299,-2.941,-0.24
layout + table,Qwen3-VL-30B,0.339427,0.337114,0.339579,-0.002313,0.000152,-0.681,0.045,0.13024,0.128911,0.130197,-0.00133,-4.3e-05,-1.021,-0.033
layout + table,Qwen3-VL-8B,0.310861,0.310179,0.313258,-0.000682,0.002397,-0.22,0.771,0.118124,0.118473,0.118289,0.000349,0.000166,0.296,0.14
plain_text + table,GPT-4o-mini,0.469152,0.460472,0.474468,-0.00868,0.005315,-1.85,1.133,0.243146,0.234001,0.244251,-0.009145,0.001105,-3.761,0.454
plain_text + table,Gemma3-27B,0.513384,0.499421,0.519372,-0.013963,0.005989,-2.72,1.167,0.229778,0.228787,0.232298,-0.000991,0.002519,-0.431,1.096
plain_text + table,Gemma3-4B,0.84125,0.844724,0.849886,0.003474,0.008637,0.413,1.027,0.258748,0.255006,0.258763,-0.003742,1.4e-05,-1.446,0.006
plain_text + table,Qwen3-VL-30B,0.389844,0.386953,0.393104,-0.002891,0.003261,-0.741,0.836,0.263617,0.259394,0.265939,-0.004223,0.002322,-1.602,0.881
plain_text + table,Qwen3-VL-8B,0.424238,0.421495,0.427214,-0.002742,0.002976,-0.646,0.702,0.207511,0.201633,0.209801,-0.005878,0.00229,-2.833,1.104
